timestamp_unix,O1,O2,T3,T4
1762668924.569848,-39545.860142,-44578.976929,-46543.166041,-69929.949939
1762668924.573848,-39548.531175,-44575.925916,-46545.837075,-69924.227893
1762668924.569848,-39485.204965,-44525.571167,-46524.092555,-69902.867079
1762668924.573848,-39461.936802,-44502.299279,-46510.741115,-69895.617664
1762668924.569848,-39497.796446,-44524.427503,-46521.421522,-69903.634489
1762668924.573848,-39551.582187,-44571.727514,-46546.217054,-69918.125868
1762668924.577848,-39546.623826,-44582.791626,-46552.322805,-69920.800626
1762668924.581848,-39480.630308,-44521.756470,-46526.379883,-69899.819791
1762668924.590103,-39452.400059,-44493.526220,-46511.504799,-69890.663028
1762668924.594103,-39478.722960,-44509.168714,-46516.083181,-69899.432361
1762668924.610302,-39556.540549,-44588.129967,-46543.929726,-69930.717349
1762668924.614302,-39542.809129,-44582.027942,-46545.453370,-69924.227893
1762668924.620475,-39462.316781,-44509.928674,-46516.463161,-69892.570376
1762668924.624475,-39452.400059,-44492.382556,-46508.833766,-69891.802967
1762668924.628475,-39498.940110,-44530.529529,-46526.763588,-69907.829165
1762668924.632475,-39533.272386,-44561.047107,-46535.536647,-69912.403822
1762668924.620475,-39530.981332,-44559.139758,-46535.156667,-69910.876453
1762668924.624475,-39470.329881,-44515.270740,-46520.657837,-69896.385074
1762668924.630549,-39451.256394,-44496.577233,-46513.412148,-69892.950356
1762668924.634549,-39486.352354,-44517.558068,-46517.990530,-69901.339710
1762668924.630549,-39533.272386,-44557.232410,-46533.629298,-69912.403822
1762668924.634549,-39536.703378,-44576.685876,-46545.073390,-69918.125868
1762668924.660887,-39466.131479,-44517.178088,-46521.421522,-69894.857705
1762668924.664886,-39442.863315,-44489.331543,-46510.741115,-69884.173572
1762668924.660887,-39482.537657,-44514.127076,-46517.226845,-69889.135659
1762668924.664886,-39551.962167,-44582.791626,-46542.786062,-69913.931191
1762668924.660887,-39540.901780,-44574.398547,-46540.115029,-69913.551211
1762668924.664886,-39464.987814,-44511.456043,-46513.412148,-69891.422987
1762668924.660887,-39449.729025,-44488.567859,-46498.917043,-69887.988269
1762668924.664886,-39504.278451,-44537.778944,-46519.897878,-69908.589125
1762668924.681220,-39548.911154,-44572.111219,-46535.536647,-69916.218519
1762668924.685220,-39547.767490,-44572.111219,-46537.823975,-69913.171232
1762668924.681220,-39487.875998,-44529.385865,-46522.948891,-69897.912443
1762668924.685220,-39467.278868,-44514.127076,-46514.175832,-69899.052382
