timestamp_unix,O1,O2,T3,T4
1762668843.840510,-39485.588670,-43774.835765,-44976.849109,-68870.991468
1762668843.844510,-39438.284934,-43731.730431,-44952.817261,-68858.787417
1762668843.840510,-39486.352354,-43763.011694,-44969.603419,-68878.240883
1762668843.844510,-39549.294859,-43822.139502,-44998.213649,-68900.749087
1762668843.860753,-39582.863450,-43846.935034,-45011.945069,-68902.656436
1762668843.864753,-39524.879307,-43802.302331,-44997.829944,-68888.537586
1762668843.863271,-39473.380893,-43749.280274,-44979.520142,-68877.093494
1762668843.867271,-39504.662156,-43778.270483,-44987.913221,-68887.010217
1762668843.880918,-39555.396885,-43820.612133,-45007.750392,-68898.841739
1762668843.884918,-39571.799338,-43841.592968,-45014.996082,-68907.611072
1762668843.880918,-39511.147887,-43792.765588,-44991.344213,-68890.064955
1762668843.884918,-39482.153952,-43771.021068,-44981.807470,-68883.962929
1762668843.891010,-39500.847459,-43781.321496,-44984.862208,-68888.917565
1762668843.895010,-39545.860142,-43817.561120,-44997.449964,-68900.361657
1762668843.891010,-39569.128305,-43842.740357,-45010.801405,-68905.323744
1762668843.895010,-39525.642991,-43812.982738,-45002.028346,-68893.119693
1762668843.901473,-39473.380893,-43759.196997,-44982.191175,-68877.093494
1762668843.905473,-39488.639683,-43762.631714,-44979.900122,-68875.953555
1762668843.901473,-39551.202208,-43823.666871,-45004.695654,-68894.639611
1762668843.905473,-39572.563022,-43845.027685,-45017.287135,-68901.889026
1762668843.921723,-39513.435215,-43793.529272,-44997.066259,-68882.055581
1762668843.925723,-39469.186217,-43751.187623,-44980.663806,-68871.371448
1762668843.921723,-39509.620517,-43788.950890,-44992.871583,-68888.917565
1762668843.925723,-39560.738951,-43828.625232,-45010.801405,-68900.749087
1762668843.931843,-39571.419358,-43842.740357,-45019.574463,-68899.981678
1762668843.935843,-39507.333189,-43789.334595,-44994.778931,-68882.435560
1762668843.952203,-39469.566196,-43764.919043,-44981.047511,-68879.000843
1762668843.956203,-39493.218064,-43777.126819,-44983.334839,-68882.435560
1762668843.952203,-39538.230747,-43817.944825,-44996.686280,-68893.499672
1762668843.956203,-39559.591562,-43835.490942,-45007.750392,-68898.841739
1762668843.963142,-39507.333189,-43791.621923,-44998.213649,-68884.342909
1762668843.967142,-39466.131479,-43750.040233,-44982.571155,-68870.991468
1762668843.963142,-39482.537657,-43756.145984,-44984.478503,-68872.898817
1762668843.967142,-39546.623826,-43822.519481,-45008.130372,-68893.879652
1762668843.982778,-39569.891989,-43847.698718,-45019.194484,-68903.796375
1762668843.986778,-39512.291551,-43796.580285,-45004.695654,-68888.917565
1762668843.982778,-39463.844150,-43748.516589,-44982.571155,-68872.518837
1762668843.986778,-39505.425841,-43786.279857,-44993.635267,-68887.397647
1762668843.992883,-39551.582187,-43824.810535,-45009.657741,-68902.269006
1762668843.996883,-39555.776864,-43835.110962,-45016.903430,-68901.509047
1762668843.992883,-39504.278451,-43790.858239,-45002.408326,-68883.582950
1762668843.996883,-39484.824985,-43771.021068,-44998.593628,-68880.908191
1762668844.002981,-39506.949484,-43784.756213,-45003.172010,-68891.592324
1762668844.006981,-39556.160569,-43820.612133,-45020.338148,-68901.509047
1762668844.013460,-39577.521384,-43841.976672,-45026.060194,-68901.889026
1762668844.017460,-39514.198899,-43807.260692,-45011.565089,-68884.342909
1762668844.023573,-39468.802512,-43759.576976,-44989.820570,-68871.751428
1762668844.027573,-39497.032762,-43771.021068,-44990.584254,-68877.860904
1762668844.023573,-39557.684213,-43833.583593,-45016.523451,-68895.027041
1762668844.027573,-39581.336081,-43855.328113,-45032.925904,-68901.129067
1762668844.033747,-39510.764182,-43801.538646,-45012.325048,-68878.240883
1762668844.037747,-39460.409433,-43750.423938,-44986.385852,-68861.834705
1762668844.033747,-39513.435215,-43796.580285,-45002.408326,-68891.592324
1762668844.037747,-39574.470371,-43839.685619,-45025.296509,-68907.611072
1762668844.064204,-39588.965476,-43854.184449,-45029.491186,-68905.323744
1762668844.068204,-39529.457688,-43813.746423,-45013.852417,-68892.732263
1762668844.064204,-39505.425841,-43798.487633,-45008.510351,-68895.027041
1762668844.068204,-39524.879307,-43804.209679,-45008.130372,-68895.787001
1762668844.064204,-39574.090391,-43845.027685,-45022.245497,-68908.378482
1762668844.068204,-39590.872824,-43867.535889,-45028.731227,-68912.953138
1762668844.084399,-39516.106248,-43824.426830,-45010.037720,-68898.454309
1762668844.088399,-39445.914328,-43775.983155,-44995.158911,-68886.250257
1762668844.084399,-39495.125413,-43790.094554,-44999.737293,-68890.064955
1762668844.088399,-39607.275277,-43854.944408,-45027.583838,-68908.758461
1762668844.094581,-39610.709995,-43874.401599,-45040.555298,-68912.193179
1762668844.098581,-39538.994431,-43820.612133,-45019.574463,-68893.879652
1762668844.114808,-39482.917637,-43775.599450,-44996.306300,-68877.473474
1762668844.118808,-39527.166635,-43810.695410,-45006.986707,-68891.972303
1762668844.124998,-39580.192417,-43852.657080,-45024.532825,-68904.943764
1762668844.128998,-39587.058127,-43864.864856,-45028.731227,-68907.231092
1762668844.124998,-39523.735642,-43806.880713,-45005.459338,-68886.250257
1762668844.128998,-39487.112314,-43772.928417,-44993.251562,-68876.713514
1762668844.135291,-39506.949484,-43787.043542,-45000.500977,-68880.528212
1762668844.139291,-39556.924254,-43829.005212,-45014.996082,-68893.879652
1762668844.143291,-39580.572397,-43857.615441,-45026.060194,-68901.889026
1762668844.147291,-39516.106248,-43812.982738,-45006.986707,-68883.962929
1762668844.145368,-39475.288242,-43769.113719,-44987.913221,-68866.796792
1762668844.149368,-39503.518492,-43777.890503,-44992.107898,-68875.186145
1762668844.145368,-39576.377720,-43842.740357,-45016.139746,-68897.694349
1762668844.149368,-39603.460580,-43879.359961,-45031.398535,-68908.758461
1762668844.163105,-39533.272386,-43818.704784,-45010.417700,-68890.444934
1762668844.167105,-39485.968649,-43769.497424,-44992.871583,-68876.713514
1762668844.171105,-39529.457688,-43809.551746,-45006.986707,-68888.917565
1762668844.175105,-39579.048753,-43849.606067,-45021.101832,-68900.749087
1762668844.175765,-39589.349180,-43862.957507,-45027.967542,-68904.943764
1762668844.179765,-39531.745017,-43813.746423,-45010.417700,-68883.962929
1762668844.185937,-39504.662156,-43789.714575,-45002.028346,-68879.768252
1762668844.189937,-39527.166635,-43801.158667,-45004.315674,-68885.870278
1762668844.185937,-39577.521384,-43844.264001,-45020.718127,-68897.694349
1762668844.189937,-39596.978575,-43869.823217,-45031.398535,-68904.943764
1762668844.206114,-39542.045444,-43822.519481,-45015.379786,-68887.777627
1762668844.210114,-39500.847459,-43779.034168,-45002.788305,-68878.240883
1762668844.206114,-39524.115622,-43789.334595,-45004.695654,-68885.102868
1762668844.210114,-39588.201791,-43854.944408,-45026.060194,-68906.471133
1762668844.216294,-39606.131613,-43874.017894,-45034.833252,-68906.851113
1762668844.220294,-39536.703378,-43816.037476,-45010.037720,-68885.102868
1762668844.216294,-39491.310716,-43771.784753,-44994.778931,-68872.898817
1762668844.220294,-39537.087083,-43817.561120,-45013.088733,-68888.537586
1762668844.236443,-39578.665048,-43854.944408,-45026.823878,-68900.749087
1762668844.240443,-39587.441832,-43870.586902,-45029.491186,-68902.656436
1762668844.236443,-39532.508701,-43820.612133,-45009.274036,-68886.630237
1762668844.240443,-39502.371103,-43796.200305,-44997.066259,-68882.055581
1762668844.256651,-39523.735642,-43810.695410,-45002.028346,-68888.157606
1762668844.260651,-39563.026279,-43852.277100,-45015.379786,-68898.841739
1762668844.256651,-39582.099766,-43875.545263,-45022.625476,-68901.509047
1762668844.260651,-39539.374411,-43835.870922,-45011.181384,-68887.777627
1762668844.266831,-39495.505393,-43782.465160,-44990.584254,-68867.176771
1762668844.270831,-39512.671530,-43790.478259,-44989.436865,-68869.084120
1762668844.266831,-39573.706686,-43860.286474,-45012.708753,-68892.732263
1762668844.270831,-39588.201791,-43877.832592,-45024.916530,-68896.546960
1762668844.276934,-39525.259286,-43816.417456,-45005.459338,-68877.093494
1762668844.280934,-39486.352354,-43772.168458,-44987.149537,-68862.602115
1762668844.297660,-39521.828294,-43815.273792,-45000.880957,-68879.000843
1762668844.301660,-39568.748325,-43857.615441,-45014.996082,-68889.304996
1762668844.298210,-39577.141404,-43872.874230,-45018.810779,-68891.592324
1762668844.302210,-39518.013597,-43822.903186,-45000.120997,-68874.806166
1762668844.307223,-39483.681321,-43788.187206,-44981.807470,-68864.122033
1762668844.311223,-39509.620517,-43808.024377,-44991.727918,-68870.991468
1762668844.307223,-39558.831602,-43853.037059,-45010.801405,-68885.490298
1762668844.311223,-39571.799338,-43875.545263,-45018.430799,-68889.304996
